web-scraper-order,web-scraper-start-url,Types_habits,Prix,Adresse,Image_lien,Image_lien-href
"1739226162-854","https://sn.coinafrique.com/categorie/vetements-enfants","Robe fillette","5 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fillette-2690337"
"1739226162-855","https://sn.coinafrique.com/categorie/vetements-enfants","Robe fillette","5 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fillette-2690335"
"1739226162-856","https://sn.coinafrique.com/categorie/vetements-enfants","Robe fillette","5 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fillette-2687946"
"1739226162-857","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2682971"
"1739226162-858","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2682964"
"1739226162-859","https://sn.coinafrique.com/categorie/vetements-enfants","Robe fillette","7 000CFA","Rufisque, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fillette-2667508"
"1739226162-860","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","13 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2667426"
"1739226162-861","https://sn.coinafrique.com/categorie/vetements-enfants","Short enfant","4 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/short-enfant-2660423"
"1739226162-862","https://sn.coinafrique.com/categorie/vetements-enfants","Short enfant","4 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/short-enfant-2660422"
"1739226162-863","https://sn.coinafrique.com/categorie/vetements-enfants","Short Enfant","4 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/short-enfant-2660421"
"1739226162-864","https://sn.coinafrique.com/categorie/vetements-enfants","Short Enfant","4 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/short-enfant-2659615"
"1739226162-865","https://sn.coinafrique.com/categorie/vetements-enfants","Culotte enfant","5 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/culotte-enfant-2659602"
"1739226162-866","https://sn.coinafrique.com/categorie/vetements-enfants","Short","4 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/short-2659599"
"1739226162-867","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtement enfants","5 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-2658970"
"1739226162-868","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements  enfants","Prix sur demande","Point E, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2658681"
"1739226162-869","https://sn.coinafrique.com/categorie/vetements-enfants","Salopettes","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/salopettes-2654013"
"1739226162-870","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2654009"
"1739226162-871","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2653964"
"1739226162-872","https://sn.coinafrique.com/categorie/vetements-enfants","Robe enfant","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-2653961"
"1739226162-873","https://sn.coinafrique.com/categorie/vetements-enfants","Robes enfants","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robes-enfants-2653580"
"1739226162-874","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2653367"
"1739226162-875","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2653361"
"1739226162-876","https://sn.coinafrique.com/categorie/vetements-enfants","Petit bateau débardeur","2 000CFA","Grand Yoff, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/petit-bateau-debardeur-2650397"
"1739226162-877","https://sn.coinafrique.com/categorie/vetements-enfants","Body bébé","11 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/body-bebe-2648630"
"1739226162-878","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble vêtement Enfant","13 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-vetement-enfant-2646607"
